# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (SPLICE_SITE_ACCEPTOR)	Total score (SPLICE_SITE_ACCEPTOR)	Length (SPLICE_SITE_ACCEPTOR)	Bases affected (SPLICE_SITE_DONOR)	Total score (SPLICE_SITE_DONOR)	Length (SPLICE_SITE_DONOR)	Bases affected (SPLICE_SITE_REGION)	Total score (SPLICE_SITE_REGION)	Length (SPLICE_SITE_REGION)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Bases affected (UTR_3_PRIME)	Total score (UTR_3_PRIME)	Length (UTR_3_PRIME)	Bases affected (UTR_5_PRIME)	Total score (UTR_5_PRIME)	Length (UTR_5_PRIME)	Count (DOWNSTREAM)	Count (EXON)	Count (INTRON)	Count (NON_SYNONYMOUS_CODING)	Count (NON_SYNONYMOUS_START)	Count (SPLICE_SITE_ACCEPTOR)	Count (SPLICE_SITE_DONOR)	Count (SPLICE_SITE_REGION)	Count (START_GAINED)	Count (START_LOST)	Count (STOP_GAINED)	Count (STOP_LOST)	Count (SYNONYMOUS_CODING)	Count (SYNONYMOUS_STOP)	Count (UPSTREAM)	Count (UTR_3_PRIME)	Count (UTR_5_PRIME)
NPIPA1	NPIPA1	mRNA	3	0	5000	0	0	1102	0	0	14632	0	0	13530	0	0	14	0	0	14	0	0	0	0	0	5000	0	0	49	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPA2	NPIPA2	mRNA	0	0	5000	0	0	1088	0	0	14640	0	0	13552	0	0	14	0	0	14	0	0	0	0	0	5000	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPA2.2	NPIPA2	mRNA	0	0	5000	0	0	1088	0	0	14636	0	0	13548	0	0	14	0	0	14	0	0	0	0	0	5000	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPA3	NPIPA3	mRNA	0	0	5000	0	0	1098	0	0	14646	0	0	13548	0	0	14	0	0	14	0	0	0	0	0	5000	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPA3.2	NPIPA3	mRNA	0	0	5000	0	0	1098	0	0	14650	0	0	13552	0	0	14	0	0	14	0	0	0	0	0	5000	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPA5	NPIPA5	mRNA	0	0	5000	0	0	1088	0	0	14671	0	0	13583	0	0	14	0	0	14	0	0	0	0	0	5000	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPA7	NPIPA7	mRNA	0	0	5000	0	0	1159	0	0	14744	0	0	13585	0	0	14	0	0	14	0	0	0	0	0	5000	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPA7.2	NPIPA7	mRNA	0	0	5000	0	0	1159	0	0	14728	0	0	13569	0	0	14	0	0	14	0	0	0	0	0	5000	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPA8	NPIPA8	mRNA	0	0	5000	0	0	1159	0	0	14728	0	0	13569	0	0	14	0	0	14	0	0	0	0	0	5000	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPA8.2	NPIPA8	mRNA	0	0	5000	0	0	1159	0	0	14744	0	0	13585	0	0	14	0	0	14	0	0	0	0	0	5000	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPB3	NPIPB3	mRNA	0	0	5000	0	0	3620	0	0	23204	0	0	19584	0	0	21	0	0	21	0	0	0	0	0	5000	0	0	150	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPB5	NPIPB5	mRNA	0	0	5000	0	0	3816	0	0	22998	0	0	19182	0	0	12	0	0	12	0	0	0	0	0	5000	0	0	135	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPB6	NPIPB6	mRNA	0	0	5000	0	0	1405	0	0	20343	0	0	18938	0	0	12	0	0	12	0	0	0	0	0	5000	0	0	89	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPB9	NPIPB9	mRNA	0	0	5000	0	0	1491	0	0	20389	0	0	18898	0	0	14	0	0	14	0	0	0	0	0	5000	0	0	68	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPL	NPL	mRNA	11	0	5000	2	0	3166	117	0	40936	115	0	37770	0	0	26	0	0	26	1	0	0	10	0	5000	4	0	1661	0	0	716	11	0	115	0	0	0	0	1	0	0	0	0	2	0	10	4	0
NPLOC4	NPLOC4	mRNA	14	0	5000	4	0	4381	220	0	80226	210	0	75845	0	0	32	0	0	32	0	0	0	23	0	5000	6	0	2372	0	0	182	14	0	210	0	0	0	0	0	0	0	0	0	4	0	23	6	0
NPM1	NPM1	mRNA	28	0	9157	0	0	1780	69	0	23181	69	0	21401	0	0	22	0	0	20	0	0	0	13	0	5000	0	0	641	0	0	245	28	0	69	0	0	0	0	0	0	0	0	0	0	0	13	0	0
NPM2	NPM2	mRNA	18	0	5000	0	0	1721	34	0	12788	34	0	11067	0	0	18	0	0	20	0	0	0	11	0	5733	0	0	282	0	0	861	18	0	34	0	0	0	0	0	0	0	0	0	0	0	11	0	0
NPM3	NPM3	mRNA	2	0	5000	0	0	877	0	0	2089	2	0	1212	0	0	10	0	0	10	0	0	0	1	0	5000	0	0	317	0	0	23	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NPNT	NPNT	mRNA	20	0	5000	2	0	4733	161	0	76232	149	0	71499	0	0	26	0	0	26	1	0	0	7	0	5000	10	0	2681	0	0	213	20	0	149	2	0	0	0	1	0	0	0	0	0	0	7	10	0
NPPA	NPPA	mRNA	9	0	5000	1	0	854	0	0	2074	1	0	1220	0	0	4	0	0	4	0	0	0	15	0	5000	3	0	299	0	0	99	9	0	1	0	0	0	0	0	0	0	0	1	0	0	15	3	0
NPPA-AS1	NPPA-AS1	Non-coding_transcript	14	0	5000	3	0	1662	14	0	7298	16	0	5636	0	0	6	0	0	6	0	0	0	23	0	5000	0	0	0	0	0	0	14	3	16	0	0	0	0	0	0	0	0	0	0	0	23	0	0
NPPB	NPPB	mRNA	19	0	5000	0	0	698	0	0	1472	0	0	774	0	0	4	0	0	4	0	0	0	10	0	5000	0	0	191	0	0	102	19	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
NPPC	NPPC	mRNA	12	0	5000	0	0	701	4	0	4234	4	0	3533	0	0	4	0	0	4	0	0	0	8	0	5000	0	0	241	0	0	79	12	0	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0
NPR1	NPR1	mRNA	6	0	5000	1	0	4185	20	0	15305	19	0	11120	0	0	42	0	0	42	0	0	0	15	0	5000	0	0	578	0	0	421	6	0	19	1	0	0	0	0	0	0	0	0	0	0	15	0	0
NPR2	NPR2	mRNA	0	0	5000	1	0	3430	26	0	17323	25	0	13893	0	0	42	0	0	42	0	0	0	7	0	5000	0	0	286	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	1	0	7	0	0
NPR3	NPR3	mRNA	10	0	5000	1	0	7597	205	0	81088	198	0	73491	0	0	16	0	0	16	0	0	0	5	0	5695	6	0	5379	0	0	471	10	0	198	1	0	0	0	0	0	0	0	0	0	0	5	6	0
NPRL2	NPRL2	mRNA	0	0	5000	0	0	1664	0	0	3568	1	0	1904	0	0	20	0	0	20	0	0	0	1	0	5000	0	0	118	0	0	403	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NPRL3	NPRL3	mRNA	13	0	5000	1	0	3177	120	0	52894	118	0	49717	0	0	28	0	0	30	1	0	0	8	0	5000	1	0	900	0	0	946	13	0	118	1	0	0	0	1	0	0	0	0	0	0	8	1	0
NPS	NPS	mRNA	40	0	5000	2	0	322	29	0	3323	27	0	3001	0	0	4	0	0	4	0	0	0	16	0	5000	0	0	32	0	0	20	40	0	27	2	0	0	0	0	0	0	0	0	0	0	16	0	0
NPSR1	NPSR1	mRNA	38	0	10000	7	0	1824	131	0	220048	130	0	218224	0	0	18	0	0	16	0	0	0	18	0	5000	2	0	471	2	0	128	38	0	130	4	0	0	0	0	1	0	1	0	2	0	18	2	2
NPSR1-AS1	NPSR1-AS1	Non-coding_transcript	28	0	10000	23	0	6188	1406	0	487820	1390	0	481632	0	0	14	0	0	14	0	0	0	23	0	10000	0	0	0	0	0	0	28	23	1390	0	0	0	0	0	0	0	0	0	0	0	23	0	0
NPTN	NPTN	mRNA	11	0	5000	0	0	2454	113	0	73410	113	0	70956	0	0	18	0	0	16	0	0	0	6	0	5000	0	0	1060	0	0	197	11	0	113	0	0	0	0	0	0	0	0	0	0	0	6	0	0
NPTN-IT1	NPTN-IT1	Non-coding_transcript	4	0	5000	8	0	2606	0	0	2606	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
NPTX1	NPTX1	mRNA	10	0	5000	5	0	5437	34	0	9772	22	0	4335	0	0	8	0	0	8	0	0	0	8	0	5000	7	0	3980	0	0	158	10	0	22	1	0	0	0	0	0	0	0	0	4	0	8	7	0
NPTX2	NPTX2	mRNA	7	0	5000	1	0	2713	9	0	12585	6	0	9872	0	0	8	0	0	8	0	0	0	2	0	5000	2	0	1240	0	0	177	7	0	6	1	0	0	0	0	0	0	0	0	0	0	2	2	0
NPTXR	NPTXR	mRNA	15	0	5000	4	0	5815	82	0	25562	68	0	19747	0	0	8	0	0	8	0	0	0	14	0	5000	10	0	4158	0	0	154	15	0	68	0	0	0	0	0	0	0	0	0	4	0	14	10	0
NPVF	NPVF	mRNA	18	0	5000	3	0	1188	21	0	3915	14	0	2727	0	0	4	0	0	4	0	0	0	25	0	5000	3	0	550	1	0	47	18	0	14	2	0	0	0	0	0	0	0	0	1	0	25	3	1
NPW	NPW	mRNA	9	0	5000	0	0	1016	0	0	1236	0	0	220	0	0	2	0	0	2	0	0	0	9	0	5000	0	0	136	0	0	382	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
NPY	NPY	mRNA	16	0	5000	3	0	560	26	0	7678	22	0	7118	0	0	6	0	0	6	0	0	0	18	0	5000	1	0	178	0	0	88	16	0	22	0	0	0	0	0	0	0	0	0	3	0	18	1	0
NPY1R	NPY1R	mRNA	20	0	5000	0	0	2958	19	0	8831	14	0	5873	0	0	4	0	0	4	0	0	0	9	0	5000	5	0	1338	0	0	465	20	0	14	0	0	0	0	0	0	0	0	0	0	0	9	5	0
NPY2R	NPY2R	mRNA	24	0	5000	2	0	3626	14	0	8448	12	0	4822	0	0	2	0	0	2	0	0	0	30	0	5000	0	0	1991	0	0	489	24	0	12	0	0	0	0	0	0	0	0	0	2	0	30	0	0
NPY4R	NPY4R	mRNA	0	0	5000	0	0	1956	0	0	4787	2	0	2831	0	0	4	0	0	4	0	0	0	3	0	5000	0	0	409	0	0	419	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0
NPY5R	NPY5R	mRNA	22	0	5000	1	0	1843	17	0	7996	15	0	6153	0	0	6	0	0	6	1	0	0	13	0	5000	1	0	323	0	0	182	22	0	15	0	0	0	0	1	0	0	0	0	1	0	13	1	0
NPY6R	NPY6R	Non-coding_transcript	4	0	5000	4	0	2987	13	0	9558	9	0	6571	0	0	2	0	0	2	0	0	0	5	0	5000	0	0	0	0	0	0	4	4	9	0	0	0	0	0	0	0	0	0	0	0	5	0	0
NQO1	NQO1	mRNA	12	0	5000	3	0	2629	44	0	17268	38	0	14639	0	0	10	0	0	10	0	0	0	14	0	5038	4	0	1575	0	0	229	12	0	38	2	0	0	0	0	0	0	0	0	1	0	14	4	0
NQO2	NQO2	mRNA	28	0	5000	5	0	1787	100	0	20061	95	0	18274	0	0	18	0	0	18	0	0	0	17	0	5000	2	0	221	0	0	870	28	0	95	2	0	0	0	0	0	0	0	0	3	0	17	2	0
NR0B1	NR0B1	mRNA	9	0	5000	0	0	1585	1	0	4957	1	0	3372	0	0	2	0	0	2	0	0	0	4	0	5000	0	0	157	0	0	15	9	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0
NR0B2	NR0B2	mRNA	9	0	5000	1	0	1271	4	0	2593	1	0	1322	0	0	2	0	0	2	0	0	0	9	0	5000	2	0	361	0	0	136	9	0	1	1	0	0	0	0	0	0	0	0	0	0	9	2	0
NR1D1	NR1D1	mRNA	2	0	5000	0	0	2775	15	0	7942	14	0	5167	0	0	14	0	0	14	0	0	0	13	0	5000	0	0	299	1	0	631	2	0	14	0	0	0	0	0	0	0	0	0	0	0	13	0	1
NR1D2	NR1D2	mRNA	9	0	5000	4	0	5498	80	0	35359	76	0	29861	0	0	16	0	0	18	0	0	0	17	0	5861	3	0	3199	0	0	661	9	4	76	1	0	0	0	0	0	0	0	0	0	0	17	3	0
NR1H2	NR1H2	mRNA	5	0	5000	0	0	2090	12	0	6606	12	0	4516	0	0	18	0	0	18	0	0	0	13	0	5000	0	0	426	0	0	281	5	0	12	0	0	0	0	0	0	0	0	0	0	0	13	0	0
NR1H3	NR1H3	mRNA	11	0	5000	2	0	2315	29	0	20734	27	0	18419	0	0	22	0	0	24	0	0	0	21	0	10598	0	0	337	1	0	665	11	0	27	1	0	0	0	0	1	0	0	0	1	0	21	0	1
NR1H4	NR1H4	mRNA	8	0	5000	2	0	2589	159	0	90095	159	0	87506	0	0	22	0	0	26	1	0	0	18	0	10000	0	0	378	0	0	671	8	0	159	0	0	0	0	1	0	0	0	0	2	0	18	0	0
NR1I2	NR1I2	mRNA	3	0	5000	1	0	4560	117	0	38002	102	0	33442	0	0	18	0	0	18	0	0	0	22	0	7226	8	0	1273	6	0	1887	3	0	102	0	0	0	0	0	1	0	0	0	1	0	22	8	6
NR1I3	NR1I3	mRNA	7	0	5000	1	0	1408	20	0	8545	19	0	7137	0	0	22	0	0	16	0	0	0	17	0	5000	0	0	131	0	0	203	7	0	19	0	0	0	0	0	0	0	0	0	1	0	17	0	0
NR2C1	NR2C1	mRNA	20	0	10000	0	0	4533	106	0	53400	103	0	48867	0	0	30	0	0	26	0	0	0	11	0	5000	2	0	2406	1	0	256	20	0	103	0	0	0	0	0	0	0	0	0	0	0	11	2	1
NR2C2	NR2C2	mRNA	5	0	5000	0	0	8330	125	0	101545	123	0	93215	0	0	28	0	0	28	0	0	0	10	0	5000	2	0	6265	0	0	217	5	0	123	0	0	0	0	0	0	0	0	0	0	0	10	2	0
NR2C2AP	NR2C2AP	mRNA	2	0	5000	0	0	1299	0	0	2015	0	0	716	0	0	8	0	0	8	0	0	0	10	0	5000	1	0	510	0	0	369	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0
NR2E1	NR2E1	mRNA	7	0	5000	0	0	3352	23	0	22752	23	0	19400	0	0	16	0	0	18	0	0	0	4	0	6965	0	0	1346	0	0	712	7	0	23	0	0	0	0	0	0	0	0	0	0	0	4	0	0
NR2E3	NR2E3	mRNA	15	0	8327	0	0	2813	5	0	7710	5	0	4897	0	0	15	0	0	15	0	0	0	10	0	5000	0	0	1380	0	0	196	15	0	5	0	0	0	0	0	0	0	0	0	0	0	10	0	0
NR2F1	NR2F1	mRNA	4	0	5000	0	0	3197	6	0	10744	6	0	7547	0	0	4	0	0	4	0	0	0	0	0	5000	0	0	238	0	0	1687	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR2F1-AS1	NR2F1-AS1	Non-coding_transcript	12	0	10000	2	0	6748	139	0	171965	139	0	165217	0	0	22	0	0	22	0	0	0	8	0	10000	0	0	0	0	0	0	12	2	139	0	0	0	0	0	0	0	0	0	0	0	8	0	0
NR2F2	NR2F2	mRNA	5	0	5000	0	0	6110	21	0	14336	19	0	8226	0	0	4	0	0	10	0	0	0	19	0	12412	2	0	2641	0	0	2198	5	0	19	0	0	0	0	0	0	0	0	0	0	0	19	2	0
NR2F2-AS1	NR2F2-AS1	Non-coding_transcript	13	0	10000	7	0	1335	101	0	60975	95	0	59640	0	0	14	0	0	14	0	0	0	0	0	5000	0	0	0	0	0	0	13	7	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR2F6	NR2F6	mRNA	16	0	5000	0	0	1804	18	0	13458	18	0	11654	0	0	6	0	0	6	0	0	0	11	0	5000	0	0	467	0	0	122	16	0	18	0	0	0	0	0	0	0	0	0	0	0	11	0	0
NR3C1	NR3C1	mRNA	14	0	10000	3	0	9455	244	0	157582	240	0	148127	0	0	18	0	0	26	0	0	0	13	0	10791	5	0	5532	2	0	2583	14	0	240	0	0	0	0	0	0	0	0	0	3	0	13	5	2
NR3C2	NR3C2	mRNA	1	0	5000	3	0	5898	1114	0	363758	1107	0	357860	0	0	16	0	0	16	1	0	0	7	0	5000	3	0	2580	1	0	363	1	0	1107	1	0	0	0	1	0	0	0	0	2	0	7	3	1
NR4A1	NR4A1	mRNA	5	0	5000	2	0	2907	72	0	36676	68	0	33769	0	0	16	0	0	18	0	0	0	17	0	10000	2	0	563	0	0	510	5	0	68	1	0	0	0	0	0	0	0	0	1	0	17	2	0
NR4A2	NR4A2	mRNA	6	0	5000	0	0	3531	7	0	8344	5	0	4813	0	0	14	0	0	14	0	0	0	0	0	5000	1	0	1312	1	0	422	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	1
NR4A3	NR4A3	mRNA	14	0	10000	1	0	6311	39	0	45037	36	0	38726	0	0	16	0	0	16	0	0	0	3	0	5000	3	0	3551	0	0	770	14	0	36	0	0	0	0	0	0	0	0	0	1	0	3	3	0
NR5A1	NR5A1	mRNA	7	0	5000	0	0	3095	54	0	26185	51	0	23090	0	0	12	0	0	12	0	0	0	3	0	5000	3	0	1522	0	0	187	7	0	51	0	0	0	0	0	0	0	0	0	0	0	3	3	0
NR5A2	NR5A2	mRNA	28	0	5000	3	0	5225	451	0	149821	439	0	144596	0	0	14	0	0	16	0	0	0	13	0	10000	9	0	3212	0	0	401	28	0	439	0	0	0	0	0	0	0	0	0	3	0	13	9	0
NR6A1	NR6A1	mRNA	4	0	5000	0	0	7064	357	0	254036	355	0	246972	0	0	22	0	0	18	0	0	0	5	0	5000	2	0	5430	0	0	191	4	0	355	0	0	0	0	0	0	0	0	0	0	0	5	2	0
NRADDP	NRADDP	Non-coding_transcript	4	0	5000	1	0	1012	0	0	1926	0	0	914	0	0	6	0	0	6	0	0	0	5	0	5000	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
NRAP	NRAP	mRNA	17	0	5000	26	0	5535	275	0	75247	246	0	69712	0	0	84	0	0	82	1	0	0	33	0	5000	0	0	151	3	0	188	17	0	246	16	0	0	0	1	0	0	0	0	10	0	33	0	3
NRARP	NRARP	mRNA	9	0	5000	0	0	2621	1	0	2621	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000	1	0	1953	0	0	323	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0
NRAS	NRAS	mRNA	6	0	5000	0	0	4454	15	0	12431	13	0	7977	0	0	12	0	0	12	0	0	0	12	0	5000	2	0	3630	0	0	254	6	0	13	0	0	0	0	0	0	0	0	0	0	0	12	2	0
NRBF2	NRBF2	mRNA	10	0	5000	1	0	1901	34	0	21785	31	0	19884	0	0	6	0	0	6	1	0	0	15	0	5000	2	0	813	0	0	224	10	0	31	0	0	0	0	1	0	0	0	0	1	0	15	2	0
NRBP1	NRBP1	mRNA	3	0	5000	0	0	2199	6	0	13652	10	0	11453	0	0	34	0	0	34	0	0	0	9	0	5000	0	0	445	0	0	146	3	0	10	0	0	0	0	0	0	0	0	0	0	0	9	0	0
NRBP2	NRBP2	mRNA	2	0	5000	1	0	3723	3	0	7392	0	0	3669	0	0	34	0	0	34	0	0	0	6	0	5000	2	0	2077	0	0	140	2	0	0	0	0	0	0	0	0	0	0	0	1	0	6	2	0
NRCAM	NRCAM	mRNA	15	0	5000	9	0	6685	888	0	308771	873	0	302086	0	0	64	0	0	64	4	0	0	27	0	10000	4	0	2284	2	0	486	15	0	873	1	0	0	0	4	0	0	0	0	8	0	27	4	2
NRD1	NRD1	mRNA	6	0	5000	4	0	4082	163	0	89744	158	0	85662	0	0	64	0	0	66	0	0	0	19	0	5897	0	0	42	1	0	435	6	0	158	0	0	0	0	0	0	0	0	0	4	0	19	0	1
NRDE2	NRDE2	mRNA	4	0	5000	4	0	4010	114	0	54084	108	0	50074	0	0	26	0	0	26	0	0	0	8	0	5000	2	0	282	0	0	233	4	0	108	2	0	0	0	0	0	0	0	0	2	0	8	2	0
NREP	NREP	mRNA	17	0	5000	0	0	3408	494	0	247629	493	0	244221	0	0	12	0	0	24	0	0	0	31	0	11967	1	0	1618	0	0	1448	17	0	493	0	0	0	0	0	0	0	0	0	0	0	31	1	0
NREP-AS1	NREP-AS1	Non-coding_transcript	9	0	5000	3	0	610	76	0	104799	76	0	104189	0	0	6	0	0	6	0	0	0	12	0	5000	0	0	0	0	0	0	9	3	76	0	0	0	0	0	0	0	0	0	0	0	12	0	0
NRF1	NRF1	mRNA	7	0	5000	1	0	3624	302	0	145368	298	0	141744	0	0	22	0	0	22	0	0	0	26	0	10000	3	0	1901	0	0	211	7	0	298	0	0	0	0	0	0	0	0	0	1	0	26	3	0
NRG1	NRG1	mRNA	40	0	19051	3	0	7788	3404	0	1125291	3402	0	1117503	0	0	28	0	0	34	0	0	0	62	0	25000	3	0	2913	1	0	1906	40	2	3402	3	0	0	0	0	0	0	0	0	0	0	62	3	1
NRG1-IT1	NRG1-IT1	Non-coding_transcript	8	0	5000	2	0	630	0	0	113742	0	0	113112	0	0	6	0	0	8	0	0	0	15	0	5482	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
NRG1-IT3	NRG1-IT3	Non-coding_transcript	10	0	5000	0	0	505	0	0	1980	0	0	1475	0	0	4	0	0	4	0	0	0	17	0	5000	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
NRG2	NRG2	mRNA	4	0	5000	0	0	4004	397	0	196521	397	0	192517	0	0	22	0	0	22	0	0	0	5	0	5000	0	0	1138	0	0	230	4	0	397	0	0	0	0	0	0	0	0	0	0	0	5	0	0
NRG3	NRG3	mRNA	10	0	5000	2	0	4198	3253	0	1111866	3249	0	1107668	0	0	22	0	0	22	1	0	0	14	0	7373	3	0	1574	0	0	301	10	0	3249	1	0	0	0	1	0	0	0	0	1	0	14	3	0
NRG4	NRG4	mRNA	4	0	5000	0	0	2181	107	0	70458	105	0	68277	0	0	10	0	0	10	0	0	0	5	0	5000	2	0	1651	0	0	182	4	0	105	0	0	0	0	0	0	0	0	0	0	0	5	2	0
NRGN	NRGN	mRNA	13	0	5000	0	0	1218	11	0	7274	11	0	6056	0	0	8	0	0	6	0	0	0	9	0	5000	0	0	829	0	0	152	13	0	11	0	0	0	0	0	0	0	0	0	0	0	9	0	0
NRIP1	NRIP1	mRNA	16	0	5000	4	0	7556	213	0	103571	200	0	96015	0	0	6	0	0	6	0	0	0	24	0	5000	8	0	3481	1	0	598	16	0	200	1	0	0	0	0	0	0	0	0	3	0	24	8	1
NRIP2	NRIP2	mRNA	7	0	5000	1	0	2777	12	0	9708	19	0	6931	0	0	10	0	0	10	0	0	0	6	0	5000	3	0	1859	0	0	72	7	0	19	1	0	0	0	0	0	0	0	0	0	0	6	3	0
NRIP3	NRIP3	mRNA	9	0	5000	0	0	3809	67	0	23474	53	0	19665	0	0	12	0	0	12	0	0	0	12	0	5000	14	0	2969	0	0	114	9	0	53	0	0	0	0	0	0	0	0	0	0	0	12	14	0
NRK	NRK	mRNA	3	0	5000	4	0	8062	108	0	136067	101	0	128005	0	0	56	0	0	56	1	0	0	3	0	5000	3	0	3010	0	0	303	3	0	101	3	0	0	0	1	0	0	0	0	1	0	3	3	0
NRL	NRL	mRNA	12	0	5000	0	0	1974	5	0	4517	2	0	2543	0	0	4	0	0	4	0	0	0	7	0	5000	3	0	1129	0	0	131	12	0	2	0	0	0	0	0	0	0	0	0	0	0	7	3	0
NRM	NRM	mRNA	0	0	5000	0	0	1926	0	0	3374	0	0	1448	0	0	10	0	0	12	0	0	0	0	0	5697	0	0	912	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRM.2	NRM	mRNA	0	0	5000	0	0	1926	0	0	3374	0	0	1448	0	0	10	0	0	12	0	0	0	0	0	5697	0	0	912	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRM.3	NRM	mRNA	0	0	5000	0	0	1926	0	0	3374	0	0	1448	0	0	10	0	0	12	0	0	0	0	0	5697	0	0	912	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRM.4	NRM	mRNA	0	0	5000	0	0	1926	0	0	3374	0	0	1448	0	0	10	0	0	12	0	0	0	0	0	5697	0	0	912	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRM.5	NRM	mRNA	0	0	5000	0	0	1926	0	0	3374	0	0	1448	0	0	10	0	0	12	0	0	0	0	0	5697	0	0	912	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRM.6	NRM	mRNA	0	0	5000	0	0	1926	0	0	3374	0	0	1448	0	0	10	0	0	12	0	0	0	0	0	5697	0	0	912	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRM.7	NRM	mRNA	0	0	5000	0	0	1926	0	0	3374	0	0	1448	0	0	10	0	0	12	0	0	0	0	0	5697	0	0	912	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRN1	NRN1	mRNA	21	0	5000	0	0	2622	24	0	9606	24	0	6984	0	0	8	0	0	10	1	0	0	21	0	8561	0	0	976	1	0	1084	21	0	24	0	0	0	0	1	0	0	0	0	0	0	21	0	1
NRN1L	NRN1L	mRNA	4	0	5000	1	0	633	0	0	1491	2	0	858	0	0	4	0	0	4	0	0	0	5	0	5000	0	0	109	0	0	26	4	0	2	1	0	0	0	0	0	0	0	0	0	0	5	0	0
NRON	NRON	Non-coding_transcript	14	0	5000	10	0	2730	0	0	2730	0	0	0	0	0	0	0	0	0	0	0	0	16	0	5000	0	0	0	0	0	0	14	10	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
NRP1	NRP1	mRNA	44	0	10000	21	0	5914	522	0	157415	501	0	151501	0	0	34	0	0	34	0	0	0	5	0	5000	14	0	2605	0	0	523	44	21	501	3	0	0	0	0	0	0	0	0	4	0	5	14	0
NRP2	NRP2	mRNA	46	0	15000	4	0	7719	271	0	115634	261	0	107915	0	0	34	0	0	34	0	0	0	18	0	5000	5	0	3824	1	0	791	46	0	261	0	0	0	0	0	0	0	0	0	4	0	18	5	1
NRROS	NRROS	mRNA	18	0	5000	2	0	2464	95	0	22219	93	0	19755	0	0	4	0	0	4	0	0	0	13	0	5000	0	0	281	0	0	104	18	0	93	1	0	0	0	0	0	0	0	0	1	0	13	0	0
NRSN1	NRSN1	mRNA	13	0	5000	1	0	2408	60	0	21344	49	0	18936	0	0	6	0	0	6	0	0	0	21	0	5000	10	0	1583	0	0	237	13	0	49	0	0	0	0	0	0	0	0	0	1	0	21	10	0
